Series code,MD02'MAM1NAM3M3MO

Name of time-series,"M3/Average Amounts Outstanding/Money Stock"
2003/04,10121694
2003/05,10124315
2003/06,10135410
2003/07,10182600
2003/08,10171792
2003/09,10125379
2003/10,10108026
2003/11,10106457
2003/12,10188715
2004/01,10200701
2004/02,10161554
2004/03,10178254
2004/04,10240449
2004/05,10247418
2004/06,10243116
2004/07,10296877
2004/08,10284198
2004/09,10242206
2004/10,10217592
2004/11,10214727
2004/12,10286853
2005/01,10290636
2005/02,10236287
2005/03,10264527
2005/04,10300901
2005/05,10277921
2005/06,10276257
2005/07,10326224
2005/08,10306222
2005/09,10294571
2005/10,10261250
2005/11,10264694
2005/12,10321464
2006/01,10312859
2006/02,10248303
2006/03,10253653
2006/04,10312459
2006/05,10266187
2006/06,10256739
2006/07,10259062
2006/08,10232583
2006/09,10227379
2006/10,10193077
2006/11,10199453
2006/12,10262705
2007/01,10269517
2007/02,10214947
2007/03,10229372
2007/04,10295409
2007/05,10269955
2007/06,10291129
2007/07,10305992
2007/08,10263032
2007/09,10253260
2007/10,10252662
2007/11,10262895
2007/12,10331481
2008/01,10343418
2008/02,10301876
2008/03,10309911
2008/04,10347836
2008/05,10338815
2008/06,10380818
2008/07,10383576
2008/08,10366872
2008/09,10347253
2008/10,10308665
2008/11,10329259
2008/12,10406445
2009/01,10437570
2009/02,10421260
2009/03,10445322
2009/04,10523923
2009/05,10520476
2009/06,10555491
2009/07,10581550
2009/08,10576771
2009/09,10564571
2009/10,10557680
2009/11,10574794
2009/12,10635184
2010/01,10662085
2010/02,10628685
2010/03,10648782
2010/04,10749117
2010/05,10763798
2010/06,10784515
2010/07,10799075
2010/08,10797344
2010/09,10789465
2010/10,10784091
2010/11,10786221
2010/12,10829365
2011/01,10852541
2011/02,10822493
2011/03,10857475
2011/04,10976124
2011/05,10994798
2011/06,11027795
2011/07,11055295
2011/08,11034139
2011/09,11033800
2011/10,11036569
2011/11,11057260
2011/12,11114608
2012/01,11132822
2012/02,11095882
2012/03,11135445
2012/04,11228021
2012/05,11204900
2012/06,11242070
2012/07,11269945
2012/08,11261725
2012/09,11261178
2012/10,11253832
2012/11,11262758
2012/12,11358541
2013/01,11385130
2013/02,11365785
2013/03,11414268
2013/04,11516195
2013/05,11518374
2013/06,11585000
2013/07,11608340
2013/08,11602679
2013/09,11610682
2013/10,11625774
2013/11,11655386
2013/12,11745546
2014/01,11778517
2014/02,11726815
2014/03,11739845
2014/04,11835518
2014/05,11823445
2014/06,11872062
2014/07,11891727
2014/08,11887733
2014/09,11901050
2014/10,11927419
2014/11,11993459
2014/12,12085313
2015/01,12104783
2015/02,12065566
2015/03,12093214
2015/04,12191441
2015/05,12215160
2015/06,12244585
2015/07,12271255
2015/08,12281934
2015/09,12263554
2015/10,12273462
2015/11,12313182
2015/12,12386000
2016/01,12411437
2016/02,12367839
2016/03,12393702
2016/04,12520875
2016/05,12555159
2016/06,12594721
2016/07,12623788
2016/08,12621687
2016/09,12625523
2016/10,12649217
2016/11,12716022
2016/12,12800804
2017/01,12833922
2017/02,12803148
2017/03,12832462
2017/04,12938605
2017/05,12961343
2017/06,13013826
2017/07,13047848
2017/08,13045399
2017/09,13057024
2017/10,13083945
2017/11,13145797
2017/12,13192095
2018/01,13206997
2018/02,13152045
2018/03,13169126
2018/04,13292729
2018/05,13312552
2018/06,13360470
2018/07,13379294
2018/08,13370132
2018/09,13378670
2018/10,13388535
2018/11,13419958
2018/12,13469683
2019/01,13477055
2019/02,13423539
2019/03,13440891
2019/04,13567501
2019/05,13602690
2019/06,13616152
2019/07,13631830
2019/08,13626135
2019/09,13634939
2019/10,13643724
2019/11,13706709
2019/12,13762321
2020/01,13775113
2020/02,13740459
2020/03,13790749
2020/04,13978017
2020/05,14170023
2020/06,14425302
2020/07,14524277
2020/08,14599821
2020/09,14652371
2020/10,14671488
2020/11,14747880
2020/12,14813455
2021/01,14860492
2021/02,14846612
2021/03,14895043
2021/04,15082268
2021/05,15145502
2021/06,15176271
2021/07,15195437
2021/08,15198803
2021/09,15200540
2021/10,15218135
2021/11,15269876
2021/12,15309517
2022/01,15344038
2022/02,15318344
2022/03,15359322
2022/04,15551700
2022/05,15578980
2022/06,15623264
2022/07,15648341
2022/08,15649767
2022/09,15632476
2022/10,15619677
2022/11,15677345
2022/12,15693481
2023/01,15696317
2023/02,15648243
2023/03,15681922
2023/04,15873481
2023/05,15904516
2023/06,15942425
2023/07,15949805
2023/08,15943651
2023/09,15918373
2023/10,15905333
2023/11,15943400
2023/12,15962564
2024/01,15981800
2024/02,15928825
2024/03,15972291
2024/04,16128025
2024/05,16113432
